"Title:","Officers Assaulted from the Law Enforcement Officers Killed and Assaulted Database"
"SubTitle:","State"
"Time:","1980 - 2019"
"Unit of Measure:","#","#","#","#","#","#"
"Citation:","Criminal Justice Information Services Division, Federal Bureau of Investigation, Federal Bureau of Investigation (2020-10-29). Officers Assaulted: Officers Assaulted | California, Florida, Maine, New Jersey, New York, Washington DC, 1980 - 2019. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  010-003-003 doi:https://doi.org/10.6068/DP17D25071EB385"
"ColumnCount:","7"
"RowCount:","40"

"Time","California","Florida","Maine","New Jersey","New York","Washington DC"
"1980",8769,4789,376,4081,4240,215
"1981",8405,5443,355,4507,4339,205
"1982",7496,6032,413,4534,3367,155
"1983",7591,6044,388,4218,4831,127
"1984",7862,6283,414,3936,5428,150
"1985",7989,6310,423,3943,5437,164
"1986",7960,7277,409,4169,5376,187
"1987",8073,7832,358,4146,5855,226
"1988",8453,"",298,4444,6590,168
"1989",8741,"",356,4599,7092,143
"1990",8833,10493,376,4551,7408,222
"1991",7771,10294,386,3533,7008,376
"1992",8265,10254,340,3702,6458,455
"1993",7603,9725,316,3487,6067,383
"1994",7520,9996,367,3443,5500,352
"1995",7077,9662,289,3546,5513,""
"1996",6359,"",318,3326,4974,""
"1997",6861,5238,285,3459,3828,""
"1998",6818,9039,246,2941,4231,""
"1999",6861,8933,175,2819,2948,""
"2000",7920,9275,232,2879,1510,""
"2001",7867,9205,279,2966,1363,""
"2002",7781,9040,263,3000,1411,""
"2003",8233,8982,263,2830,1207,""
"2004",8421,8760,299,2962,834,""
"2005",8383,8478,219,2828,822,""
"2006",8000,8680,229,2716,768,""
"2007",8478,8433,197,2625,715,""
"2008",8742,8101,149,2443,818,""
"2009",9012,7496,121,2264,916,806
"2010",8434,6910,128,2246,971,998
"2011",8382,6555,124,2081,921,511
"2012",8115,6797,110,2072,986,0
"2013",8388,6648,111,1923,1049,0
"2014",9000,6456,103,1667,883,741
"2015",9978,6339,112,1628,761,971
"2016",9933,6074,78,1698,739,1472
"2017",10770,6524,103,1401,812,844
"2018",11150,3238,100,1475,824,858
"2019",10514,6619,79,1691,1022,791



"Publisher:", "Federal Bureau of Investigation"
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
